Serial number,Phone number,Location,Occupation,Qualified,Age,Type,Clients Attended,Minimum wage,Aadhar Card,Gender,Doorstep Service,Morning Available,Afternoon Available,Evening Available,References
21,9594040647,Kothrud,Mehndi Artist,No,28,Part time,4,4000,5598-5815-1277,Female,Yes,Yes,Yes,Yes,
22,8501150642,Ghorpadi,Driver,No,33,Full time,14,2500,1284-4061-3254,Male,,Yes,Yes,Yes,
23,9112053173,Pashan,Receptionist,Yes,30,Full time,4,3500,2893-0786-9436,Female,,Yes,Yes,No,
24,8743478947,Kharadi,Security Guard,Yes,22,Part time,11,5500,5669-7074-8746,Male,,Yes,Yes,No,
25,9470498192,Balewadi,Cashier,Yes,24,Part time,4,3500,5954-4449-6319,Female,,Yes,Yes,No,
26,9601873444,Chinchwad,Brick mason,No,24,Part time,2,1500,0332-6689-4497,Male,,Yes,No,No,
27,7416004687,Salisbury Park,Accountant,Yes,29,Full time,10,3500,2154-3100-8900,Female,,Yes,Yes,Yes,
28,9731515672,Nigdi,Carpenter,Yes,38,Part time,5,5000,8875-1467-6107,Male,,No,Yes,Yes,
29,8940355789,Hinjewadi,Cook,Yes,31,Part time,1,4500,4531-5105-1279,Female,Yes,Yes,No,Yes,
30,9572378094,Vitthalwadi,Accountant,No,34,Full time,14,2000,1029-5252-3969,Female,,Yes,Yes,No,
31,7176258599,Fursungi,Carpenter,Yes,28,Part time,14,4500,9855-4783-2921,Male,,No,Yes,Yes,
32,9169423039,Deccan,Carpenter,Yes,20,Part time,15,6000,8656-4113-2382,Male,,Yes,No,Yes,
33,9660176900,Ghorpadi,Driver,No,35,Full time,14,6000,1375-7905-5502,Male,,Yes,Yes,Yes,
34,9937075660,Wanowrie,Driver,Yes,26,Full time,5,7000,6874-6919-5707,Male,,Yes,Yes,Yes,
35,7141203737,Dhole Patil Road,Cook,No,27,Part time,9,6000,9917-0409-9546,Female,Yes,Yes,No,Yes,
36,9589988126,Salisbury Park,Salesperson,Yes,32,Full time,8,2000,5737-0150-3051,Female,,Yes,Yes,No,
37,7382709622,Pimplesaudagar,Driver,No,27,Full time,12,3000,8175-1565-5767,Male,,Yes,Yes,Yes,
38,7754844718,Singhgad Road,Brick mason,Yes,20,Part time,13,1500,2506-3653-9463,Male,,Yes,No,Yes,
39,7509591155,Saswad,Salesperson,No,23,Part time,2,1500,8230-6488-2249,Female,,Yes,Yes,No,
40,7173399007,Kondhwa,Delivery Boy,No,18,Part time,10,7000,4616-6549-9392,Male,,Yes,No,No,
41,8977808422,Ghorpadi,Cashier,Yes,28,Full time,13,7000,5707-2251-9780,Female,,Yes,Yes,No,
42,8400577040,Wagholi,Carpenter,Yes,39,Part time,4,1000,6690-8335-9165,Male,,Yes,Yes,No,
43,7421094974,Saswad,Cashier,Yes,24,Part time,3,1000,0672-9033-5711,Female,,No,Yes,No,
44,8920380910,Wagholi,Brick mason,Yes,26,Full time,6,4500,6699-3378-0112,Male,,Yes,Yes,Yes,
45,8393348239,Nigdi,Waitress,No,18,Part time,6,7000,2439-3393-6658,Female,,No,Yes,Yes,
46,7907294784,Bibewadi,Waitress,Yes,34,Full time,7,6500,9527-5630-0480,Female,,Yes,Yes,Yes,
47,7150701438,Hinjewadi,Plumber,Yes,19,Part time,7,7000,1454-8098-4586,Male,,Yes,No,No,
48,8265628978,Vishrantwadi,Accountant,No,34,Part time,4,2500,0953-5925-6790,Male,,No,No,Yes,
49,8217559757,Ganeshkhind,Tailor,Yes,34,Full time,14,3000,0536-0955-4900,Male,No,Yes,Yes,Yes,
50,9042282813,Deccan,Salesperson,Yes,22,Full time,6,2000,3146-0339-3458,Male,,Yes,Yes,Yes,
51,7766693436,Wagholi,Cashier,No,18,Full time,5,4500,9034-7612-8243,Male,,Yes,Yes,Yes,
52,8676876043,Salisbury Park,Cook,Yes,33,Part time,11,5500,4900-5580-2933,Male,Yes,No,Yes,Yes,
53,9111867786,Baner,Waitress,No,35,Part time,6,5500,1700-1113-6621,Female,,Yes,Yes,No,
54,9528163346,Dhayari,Salesperson,Yes,24,Part time,3,1500,8725-2604-6033,Female,,Yes,Yes,Yes,
55,8656491224,Ghorpadi,Delivery Boy,No,34,Part time,14,6500,1145-6626-1668,Male,,No,Yes,Yes,
56,8356789757,Koregaon Park,Carpenter,No,24,Part time,3,1000,2773-9554-3277,Male,,Yes,Yes,No,
57,8090355596,Camp,Mehndi Artist,No,31,Full time,8,6000,8643-6709-2449,Female,Yes,Yes,No,Yes,
58,9061136253,Koregaon Park,Security Guard,No,26,Full time,4,1000,6933-8483-2035,Male,,Yes,Yes,Yes,
59,9008670358,Parvati,Mechanic,No,19,Full time,2,6000,2944-8055-4187,Male,,Yes,Yes,Yes,
60,7696838215,Baner,Cook,No,28,Full time,10,2500,3868-6841-9608,Male,Yes,Yes,Yes,Yes,
61,7409883989,Hinjewadi,Cashier,Yes,38,Full time,3,3500,7792-1311-4216,Male,,Yes,Yes,Yes,
62,8312567851,Bibewadi,Carpenter,No,21,Full time,3,1000,6396-9194-2862,Male,,Yes,Yes,Yes,
63,8380872210,Khadakwasla,Cashier,Yes,20,Full time,5,4000,6194-5081-6365,Male,,Yes,Yes,Yes,
64,9574106423,Wanowrie,Accountant,No,20,Full time,1,4500,0060-3580-3781,Female,,No,Yes,No,
65,9462823895,Kothrud,Tailor,Yes,30,Part time,15,1000,7223-9092-8172,Male,No,Yes,Yes,No,
66,9829146540,Wagholi,Accountant,No,34,Part time,2,4000,8688-6696-6772,Female,,Yes,Yes,No,
67,8096850545,Pashan,Mechanic,No,22,Full time,2,7000,4826-5719-9809,Male,,Yes,Yes,Yes,
68,9122289260,Hinjewadi,Accountant,Yes,25,Part time,5,7000,9600-6044-7125,Male,,Yes,Yes,No,
69,8699026420,Kothrud,Mechanic,Yes,28,Part time,7,5500,6167-3805-9804,Male,,No,Yes,Yes,
70,9439818226,Kothrud,Accountant,No,21,Part time,5,2000,7122-5483-6763,Female,,Yes,Yes,No,
71,8459462754,Dhole Patil Road,Tailor,Yes,24,Full time,12,5000,0095-5561-2610,Male,No,Yes,Yes,Yes,
72,8853934913,Dhankawadi,Waiter,No,29,Part time,7,4000,5345-3682-6950,Male,,Yes,Yes,No,
73,7548303890,Kondhwa,Security Guard,No,26,Part time,3,6500,7019-8919-7587,Male,,No,Yes,Yes,
74,7010176499,Pimplesaudagar,Driver,Yes,28,Full time,3,6000,4465-5387-8649,Male,,Yes,Yes,Yes,
75,8759044936,Mundhwa,Tailor,Yes,40,Full time,12,2500,0501-3808-9019,Male,Yes,Yes,Yes,Yes,
76,7266211224,Dhayari,Maid,Yes,23,Full time,9,2500,0178-9132-5660,Female,Yes,Yes,No,Yes,
77,9549806493,Chinchwad,Tailor,Yes,24,Full time,12,4000,0148-3985-3518,Male,No,Yes,Yes,Yes,
78,7736667570,Mundhwa,Salesperson,No,30,Part time,10,7000,9118-8539-8742,Female,,Yes,Yes,No,
79,9578014180,Bibewadi,Janitor,Yes,29,Part time,8,3000,7119-0887-3830,Male,,No,Yes,Yes,
80,8901621441,Dhayari,Electrician,No,26,Full time,9,7000,5320-2482-9877,Male,,Yes,Yes,Yes,
81,8757913925,Pimplesaudagar,Delivery Boy,No,38,Part time,14,3000,3368-1784-4393,Male,,No,Yes,Yes,
82,8972395817,Wagholi,Brick mason,No,39,Part time,13,3500,2492-2271-3609,Male,,No,Yes,Yes,
83,7635333421,Koregaon Park,Receptionist,No,39,Full time,7,5000,0574-4186-4101,Male,,Yes,Yes,Yes,
84,9024580286,Singhgad Road,Maid,Yes,23,Part time,7,5000,5606-9654-5146,Female,Yes,Yes,No,Yes,
85,9812240761,Mundhwa,Janitor,No,27,Full time,12,2000,5105-7200-3596,Male,,Yes,Yes,Yes,
86,8608570121,Wagholi,Salesperson,No,31,Part time,10,5500,5723-4952-3273,Female,,Yes,Yes,No,
87,9016591832,Dhayari,Salesperson,No,32,Full time,1,3500,7776-2020-8192,Male,,Yes,Yes,Yes,
88,7835558685,Mundhwa,Salesperson,Yes,18,Full time,9,2000,7961-0913-8664,Female,,Yes,Yes,No,
89,7477096242,Shivajinagar,Tailor,No,29,Part time,1,4500,3652-6811-1962,Female,No,Yes,Yes,No,
90,9812456734,Wagholi,Accountant,Yes,21,Part time,11,6500,9905-0405-5944,Female,,Yes,Yes,No,
91,7541472369,Fursungi,Electrician,Yes,37,Part time,3,7000,8871-2768-5653,Male,,No,Yes,Yes,
92,7353997432,Erandwane,Waiter,Yes,37,Part time,3,6500,8836-3855-2376,Male,,Yes,Yes,No,
93,7105160564,Khadakwasla,Painter,No,31,Part time,10,3500,2177-8666-2367,Male,,Yes,Yes,No,
94,8449788554,Salisbury Park,Cashier,No,31,Part time,11,6000,5228-6125-2337,Female,,Yes,Yes,No,
95,7723039367,Bavdhan,Salesperson,Yes,22,Full time,4,4500,1616-5012-8978,Female,,Yes,Yes,No,
96,9440243123,Balewadi,Salesperson,Yes,27,Full time,8,5000,4114-1271-1524,Male,,Yes,Yes,Yes,
97,9536909928,Dhankawadi,Accountant,No,35,Full time,10,4500,1590-6026-9537,Female,,Yes,Yes,Yes,
98,9702592421,Ghorpadi,Worker,No,27,Full time,6,2500,3001-5966-5892,Male,,Yes,Yes,Yes,
99,9630024271,Dhayari,Worker,Yes,38,Full time,14,6500,1286-8599-3375,Male,,Yes,Yes,Yes,
100,8340316048,Ganeshkhind,Delivery Boy,No,37,Part time,15,6000,8156-0016-7872,Male,,No,Yes,Yes,
101,9684904494,Koregaon Park,Worker,Yes,21,Full time,5,5000,5958-8124-2777,Male,,Yes,Yes,Yes,
102,7737881475,Paud Road,Brick mason,Yes,32,Part time,12,3000,6374-5957-3595,Male,,No,No,Yes,
103,8677265259,Vishrantwadi,Mehndi Artist,No,21,Full time,10,4000,0333-1416-5030,Female,Yes,Yes,Yes,No,
104,8377999712,Dattawadi,Salesperson,Yes,31,Full time,1,3500,3337-0005-8287,Male,,Yes,Yes,Yes,
105,9915078016,Mundhwa,Cook,Yes,24,Part time,2,6000,6384-9058-9355,Female,Yes,Yes,Yes,Yes,
106,9753005783,Fatimanagar,Cashier,No,32,Full time,9,3500,8548-7553-2339,Male,,Yes,Yes,Yes,
107,9612926162,Gultekdi,Brick mason,Yes,31,Part time,5,2000,0881-2368-4647,Male,,No,Yes,Yes,
108,9709564984,Gultekdi,Waiter,No,31,Full time,3,6000,9092-8017-1206,Male,,Yes,Yes,Yes,
109,7592835763,Fatimanagar,Cook,No,31,Part time,4,3500,0261-3268-6290,Female,Yes,Yes,No,Yes,
110,8235060233,Saswad,Accountant,No,22,Part time,9,2500,8696-1094-5103,Male,,Yes,No,No,
111,8880039312,Ganeshkhind,Driver,Yes,22,Part time,14,5500,0924-8688-5173,Male,,Yes,Yes,No,
112,9810810125,Khadki,Cook,No,21,Part time,12,3000,3984-8288-2191,Male,Yes,Yes,Yes,No,
113,9564250225,Ghorpadi,Receptionist,Yes,33,Part time,9,2500,5777-1333-5347,Female,,Yes,Yes,No,
114,7559477242,Singhgad Road,Delivery Boy,Yes,38,Part time,13,6000,6876-0443-1726,Male,,No,Yes,Yes,
115,8493070091,Dattawadi,Receptionist,No,35,Part time,12,5000,8406-0161-6363,Male,,No,Yes,Yes,
116,8002028021,Pimplesaudagar,Plumber,No,35,Full time,12,5000,0890-8138-2316,Male,,Yes,Yes,Yes,
117,8219820679,Dhole Patil Road,Accountant,No,36,Part time,2,1500,5034-6419-0543,Male,,No,No,Yes,
118,7361206982,Khadakwasla,Tailor,No,25,Part time,13,6500,3704-0377-6719,Male,Yes,No,Yes,Yes,
119,9992196720,Wagholi,Security Guard,Yes,29,Part time,3,2000,4560-8787-8849,Male,,Yes,Yes,No,
120,9196821586,Koregaon Park,Accountant,Yes,32,Part time,2,2000,9007-8560-1122,Female,,Yes,Yes,No,
121,7326734834,Parvati,Cook,Yes,27,Part time,10,6000,8317-9815-5969,Male,Yes,No,Yes,Yes,
122,8396767386,Ghorpadi,Cook,No,24,Part time,1,6000,4655-1608-8902,Female,Yes,Yes,Yes,Yes,
123,7338368888,Kothrud,Tailor,No,35,Full time,13,3500,2070-4767-3486,Male,No,Yes,Yes,Yes,
124,7531212146,Ganeshkhind,Waitress,No,24,Part time,6,4000,0361-8189-8264,Female,,Yes,Yes,No,
125,7134891311,Dattawadi,Tailor,Yes,34,Part time,7,6500,5411-4824-2642,Male,No,No,Yes,Yes,
126,9935719049,Wanowrie,Carpenter,No,28,Full time,13,6000,5438-4132-0026,Male,,Yes,Yes,Yes,
127,9180862647,Kondhwa,Plumber,No,19,Part time,13,4500,0092-0821-3325,Male,,Yes,Yes,No,
128,8091072420,Vitthalwadi,Brick mason,Yes,34,Part time,13,6000,8476-9299-9965,Male,,Yes,No,No,
129,8390311744,Paud Road,Accountant,No,35,Part time,14,1000,1247-8352-1489,Female,,Yes,Yes,No,
130,7309034598,Nigdi,Cashier,Yes,28,Full time,7,4000,9348-6262-5136,Female,,Yes,Yes,No,
131,9168070226,Dhayari,Receptionist,No,26,Full time,15,6500,0884-5992-7629,Male,,Yes,Yes,Yes,
132,8351086603,Paud Road,Plumber,Yes,21,Part time,11,2000,4506-7283-0770,Male,,Yes,Yes,No,
133,9567202596,Parvati,Cashier,Yes,29,Part time,12,6500,2624-7621-4308,Male,,No,Yes,Yes,
134,9095953813,Shivajinagar,Cook,No,35,Part time,14,6500,3518-6316-8228,Male,Yes,Yes,Yes,No,
135,9957963041,Pashan,Brick mason,Yes,28,Part time,13,2500,8845-5948-3581,Male,,No,Yes,Yes,
136,8278703604,Singhgad Road,Waitress,Yes,29,Full time,5,4500,2594-9719-2040,Female,,Yes,Yes,Yes,
137,7432469980,Erandwane,Driver,No,37,Part time,7,2500,5617-3805-0010,Male,,Yes,Yes,No,
138,8203185910,Khadakwasla,Driver,No,35,Full time,5,4000,2759-7826-4671,Male,,Yes,Yes,Yes,
139,8385785396,Vitthalwadi,Delivery Boy,Yes,31,Full time,8,6500,2218-1238-5756,Male,,Yes,Yes,Yes,
140,9829285973,Baner,Plumber,Yes,18,Full time,12,5500,4192-0983-4639,Male,,Yes,Yes,Yes,
141,7835815808,Fursungi,Mechanic,No,34,Full time,9,1000,6700-1345-7646,Male,,Yes,Yes,Yes,
142,7783031560,Saswad,Salesperson,Yes,31,Part time,6,1500,2927-1830-9296,Female,,Yes,Yes,No,
143,9753837711,Ambegaon,Carpenter,No,19,Full time,11,6000,1856-8813-0396,Male,,Yes,Yes,Yes,
144,7340843859,Saswad,Maid,No,27,Part time,2,1000,9638-5299-1899,Female,Yes,Yes,No,Yes,
145,9575714232,Dhole Patil Road,Cook,Yes,31,Full time,9,6500,1149-1223-9129,Male,Yes,Yes,Yes,Yes,
146,7877242615,Deccan,Accountant,Yes,28,Full time,5,7000,6199-3468-3087,Female,,No,Yes,No,
147,7453551732,Nigdi,Receptionist,Yes,22,Full time,15,3000,9895-2770-2039,Male,,Yes,Yes,Yes,
148,8967329275,Vishrantwadi,Tailor,No,21,Full time,2,5000,1037-8248-2250,Female,No,Yes,Yes,No,
149,9273704559,Bavdhan,Receptionist,Yes,33,Full time,9,4500,4773-8276-1050,Male,,Yes,Yes,Yes,
150,7949561597,Vishrantwadi,Brick mason,No,35,Part time,13,1000,4038-0481-4045,Male,,Yes,Yes,No,
151,9274782623,Mundhwa,Security Guard,Yes,30,Part time,5,2500,0248-5952-0699,Male,,Yes,Yes,No,
152,9583420318,Ambegaon,Cashier,No,33,Part time,14,5000,7760-7241-0557,Male,,No,Yes,Yes,
153,8775283384,Paud Road,Cashier,No,29,Part time,8,3500,0718-2966-6661,Male,,No,Yes,Yes,
154,9920329022,Wagholi,Brick mason,No,33,Full time,9,5000,2170-1042-3075,Male,,Yes,Yes,Yes,
155,7229730026,Ghorpadi,Plumber,No,30,Full time,9,2500,7081-2549-7657,Male,,Yes,Yes,Yes,
156,8533143688,Dhole Patil Road,Salesperson,No,35,Part time,6,6000,2780-5103-0624,Male,,No,Yes,Yes,
157,8972463510,Khadki,Painter,No,33,Part time,14,2000,6694-8908-7647,Male,,No,Yes,Yes,
158,7445825461,Singhgad Road,Waitress,Yes,23,Full time,13,1500,8292-2914-2854,Female,,Yes,Yes,No,
159,9930063859,Khadakwasla,Maid,Yes,25,Part time,12,2000,4905-6423-2562,Female,Yes,Yes,No,Yes,
160,9999990116,Khadakwasla,Driver,No,38,Full time,9,3000,9396-7479-3574,Male,,Yes,Yes,Yes,
161,8810318360,Parvati,Salesperson,Yes,19,Full time,10,2500,8039-1191-4013,Female,,Yes,Yes,No,
162,9178536254,Gultekdi,Carpenter,No,37,Full time,8,5000,0196-7804-0820,Male,,Yes,Yes,Yes,
163,8999177457,Dhankawadi,Receptionist,No,30,Full time,12,5000,2976-6870-7758,Female,,Yes,Yes,No,
164,8647686746,Fatimanagar,Accountant,Yes,19,Part time,3,4500,9922-1658-8357,Female,,No,Yes,Yes,
165,9293818924,Vitthalwadi,Receptionist,Yes,22,Full time,2,1000,9370-6865-4657,Male,,Yes,Yes,Yes,
166,7882955069,Salisbury Park,Painter,Yes,37,Full time,2,4000,3683-0438-3195,Male,,Yes,Yes,Yes,
167,7758307784,Ghorpadi,Security Guard,No,21,Full time,8,3000,0874-4048-5203,Male,,Yes,Yes,Yes,
168,9136521886,Swargate,Receptionist,No,28,Part time,10,2000,0827-2436-7351,Male,,Yes,Yes,No,
169,7912154796,Koregaon Park,Carpenter,No,39,Part time,6,5000,9204-9057-7988,Male,,Yes,Yes,No,
170,9678786186,Mundhwa,Brick mason,No,31,Part time,6,3500,8949-2569-8126,Male,,No,Yes,Yes,
171,9631292272,Hadapsar,Cook,Yes,35,Part time,14,6500,9429-0212-0241,Male,Yes,Yes,Yes,No,
172,9467345565,Ganeshkhind,Receptionist,No,34,Part time,8,5000,5999-8911-8226,Male,,No,Yes,Yes,
173,7950565679,Balewadi,Cashier,No,26,Part time,7,4000,1752-4846-6700,Female,,Yes,Yes,No,
174,9367051065,Camp,Plumber,No,22,Full time,9,4000,5513-1132-3034,Male,,Yes,Yes,Yes,
175,8545634136,Wagholi,Security Guard,Yes,33,Full time,11,3500,2881-6981-6711,Male,,Yes,Yes,Yes,
176,7633673333,Kondhwa,Waitress,No,18,Part time,11,7000,9718-8352-2336,Female,,No,Yes,Yes,
177,8553044980,Saswad,Maid,Yes,31,Part time,7,2000,0514-1488-9943,Female,Yes,Yes,No,Yes,
178,7172231455,Katraj,Maid,No,27,Full time,1,1500,9833-6657-3114,Female,Yes,Yes,No,Yes,
179,9290097507,Balewadi,Accountant,No,33,Part time,9,5500,7044-4335-5455,Male,,No,Yes,Yes,
180,7828337919,Ganeshkhind,Janitor,Yes,29,Full time,6,6500,9747-6213-4510,Male,,Yes,Yes,Yes,
181,9381499848,Fatimanagar,Worker,Yes,31,Full time,4,7000,6734-0589-2897,Male,,Yes,Yes,Yes,
182,7289274768,Dattawadi,Plumber,No,34,Full time,14,6000,3694-8777-7447,Male,,Yes,Yes,Yes,
183,7872852127,Khadakwasla,Delivery Boy,Yes,28,Full time,2,3000,0075-0036-8059,Male,,Yes,Yes,Yes,
184,9559408896,Koregaon Park,Worker,Yes,30,Full time,13,5000,4823-3690-7274,Male,,Yes,Yes,Yes,
185,8679568762,Shivajinagar,Cook,Yes,27,Full time,10,5000,6282-6387-1268,Male,Yes,Yes,Yes,Yes,
186,8373994042,Aundh,Tailor,Yes,33,Full time,13,3500,8988-8942-8374,Female,Yes,Yes,Yes,No,
187,8921381155,Fursungi,Cashier,Yes,28,Part time,3,2500,4539-9674-0230,Male,,No,Yes,Yes,
188,7021268449,Sahakarnagar,Security Guard,No,33,Part time,11,6000,1862-2740-9424,Male,,No,Yes,Yes,
189,7782055018,Deccan,Waitress,No,33,Part time,7,3500,2176-0724-8346,Female,,Yes,Yes,No,
190,9484784048,Wanowrie,Tailor,Yes,39,Part time,15,1000,7885-7493-3365,Male,No,No,Yes,Yes,
191,9000511654,Ganeshkhind,Brick mason,Yes,24,Part time,11,1000,3878-3791-1332,Male,,Yes,Yes,No,
192,7946030934,Pimplesaudagar,Cook,No,23,Part time,7,4500,4237-4009-4688,Male,Yes,Yes,Yes,No,
193,9681235611,Kothrud,Tailor,No,29,Part time,14,1500,2885-9984-1240,Male,Yes,Yes,Yes,No,
194,9789423521,Vishrantwadi,Cook,Yes,37,Full time,13,6500,8485-4521-7765,Male,Yes,Yes,Yes,Yes,
195,8057520714,Paud Road,Cashier,Yes,33,Full time,14,7000,6890-0734-3653,Female,,Yes,Yes,No,
196,8837011772,Hinjewadi,Mehndi Artist,No,33,Full time,8,5000,7957-9369-6567,Female,Yes,Yes,No,Yes,
197,7906920457,Kothrud,Carpenter,Yes,40,Part time,7,2000,7427-3887-4374,Male,,No,Yes,Yes,
198,8081918623,Camp,Waitress,No,29,Part time,7,6500,5480-9442-1683,Female,,Yes,Yes,No,
199,9279211977,Chinchwad,Accountant,Yes,32,Part time,4,2000,7246-6527-4920,Female,,Yes,Yes,No,
200,8150592550,Mundhwa,Accountant,No,19,Full time,8,4500,8671-3054-2556,Female,,Yes,Yes,Yes,
201,8353265456,Hinjewadi,Accountant,Yes,21,Full time,13,7000,7380-7657-5345,Female,,Yes,Yes,Yes,
202,8826320967,Gultekdi,Accountant,Yes,40,Part time,15,1500,4521-2263-9010,Male,,No,No,Yes,
203,9742447600,Singhgad Road,Cashier,No,33,Full time,9,6500,4834-9575-4786,Male,,Yes,Yes,Yes,
204,8601925933,Aundh,Mehndi Artist,No,22,Part time,4,4500,7672-1960-5646,Female,No,Yes,No,No,
205,9841560391,Vishrantwadi,Accountant,Yes,20,Full time,4,2000,7429-2518-2045,Female,,No,Yes,No,
206,9156160961,Pimplesaudagar,Cashier,No,40,Full time,7,4000,8130-6709-1235,Male,,Yes,Yes,Yes,
207,8069508379,Dattawadi,Janitor,No,27,Full time,6,5500,9366-8500-1221,Male,,Yes,Yes,Yes,
208,9628109452,Shivajinagar,Cashier,Yes,29,Part time,5,6500,4240-5615-6570,Female,,Yes,Yes,No,
209,9853596525,Pimplesaudagar,Accountant,Yes,27,Full time,4,5500,3353-1866-1698,Male,,Yes,Yes,Yes,
210,9984092539,Kharadi,Driver,Yes,27,Full time,4,1500,1681-0324-3999,Male,,Yes,Yes,Yes,
211,8450258722,Fursungi,Driver,No,20,Part time,6,2000,0824-5732-1202,Male,,Yes,Yes,No,
212,7443638049,Swargate,Brick mason,No,34,Part time,1,1500,9586-2829-3951,Male,,Yes,No,No,
213,7404436508,Nigdi,Plumber,No,31,Full time,5,1500,3975-6464-2088,Male,,Yes,Yes,Yes,
214,8247639728,Wanowrie,Tailor,Yes,21,Part time,13,1500,5422-9048-6293,Male,Yes,No,Yes,Yes,
215,9275585844,Mundhwa,Delivery Boy,No,22,Part time,3,5500,2201-5303-4834,Male,,Yes,Yes,No,
216,8651861789,Kothrud,Mechanic,Yes,21,Part time,7,5500,7703-1098-0142,Male,,Yes,Yes,No,
217,9337855119,Dhayari,Waitress,Yes,30,Full time,15,6000,1360-0042-3115,Female,,Yes,Yes,No,
218,7442810197,Pimplesaudagar,Brick mason,No,35,Full time,5,6500,4531-2775-8553,Male,,Yes,Yes,Yes,
219,9666020861,Ambegaon,Waitress,Yes,33,Full time,4,1500,7897-0051-5037,Female,,Yes,Yes,Yes,
220,9689981240,Baner,Painter,No,30,Full time,3,1000,2776-4278-0201,Male,,Yes,Yes,Yes,
221,9641650747,Salisbury Park,Painter,Yes,22,Full time,14,3500,7861-7122-7975,Male,,Yes,Yes,Yes,
222,9924726594,Dhankawadi,Receptionist,Yes,27,Full time,3,3500,6651-9560-0807,Male,,Yes,Yes,Yes,
223,8742786559,Bavdhan,Tailor,No,30,Part time,10,3000,7205-1240-9242,Female,Yes,Yes,Yes,No,
224,9290671706,Chinchwad,Cook,Yes,29,Part time,12,1500,6195-4098-6826,Female,Yes,Yes,No,Yes,
225,8712875275,Paud Road,Receptionist,Yes,35,Part time,14,7000,7179-5729-0234,Female,,Yes,Yes,No,
226,8681724921,Vishrantwadi,Maid,Yes,23,Part time,6,2500,0880-3341-0712,Female,Yes,Yes,No,Yes,
227,8065167955,Dhole Patil Road,Painter,Yes,28,Full time,2,5000,3859-9657-2393,Male,,Yes,Yes,Yes,
228,8164887760,Erandwane,Delivery Boy,Yes,18,Part time,11,1500,7892-0526-5231,Male,,Yes,Yes,No,
229,9827211347,Paud Road,Cook,No,37,Full time,9,6000,7532-3748-5311,Male,Yes,Yes,Yes,Yes,
230,8657657714,Khadakwasla,Tailor,No,28,Full time,13,4000,7325-7062-9556,Male,No,Yes,Yes,Yes,
231,8384782014,Deccan,Waitress,No,27,Full time,10,4500,1426-4786-2434,Female,,Yes,Yes,Yes,
232,9497856147,Dhole Patil Road,Tailor,Yes,29,Full time,14,5000,8846-9712-1236,Male,No,Yes,Yes,Yes,
233,9547301459,Dhayari,Salesperson,No,32,Full time,9,2500,9299-7812-7350,Male,,Yes,Yes,Yes,
234,9971048153,Shivajinagar,Janitor,Yes,38,Part time,14,7000,6119-6687-2962,Male,,Yes,Yes,No,
235,7205330463,Vitthalwadi,Accountant,No,36,Full time,12,3500,3676-8617-0243,Male,,Yes,Yes,Yes,
236,7625423827,Wagholi,Delivery Boy,Yes,22,Full time,12,5000,5976-9422-2669,Male,,Yes,Yes,Yes,
